Log File;Date;Level [mm];Quantity [Liter];Signal health [-];Error [-];StdDev [Liter];Refill Quantity [Liter];Rain quantity 24h [Liter];Refill quantity 24h [Liter];Measured quantity change 24h [Liter];Calculated quantity change 24h [Liter];Quantity difference [%];Filter diagnosis [-];Usage in last 24h [Liter];Usage average in last 10d [Liter]
181122_V310_2.csv;15.11.2018 02:32;410;1288;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 03:32;409;1284;98;Kein Fehler erkannt;1,34;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 04:32;409;1284;98;Kein Fehler erkannt;1,38;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 05:32;406;1275;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 06:32;403;1266;96;Kein Fehler erkannt;3,66;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 07:33;402;1262;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 08:33;402;1262;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 09:33;402;1262;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 10:33;401;1259;98;Kein Fehler erkannt;1,41;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 11:33;401;1259;98;Kein Fehler erkannt;1,15;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 12:33;401;1259;98;Kein Fehler erkannt;1,49;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 13:33;401;1259;98;Kein Fehler erkannt;1,57;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 14:34;401;1259;98;Kein Fehler erkannt;1,56;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 15:34;401;1259;98;Kein Fehler erkannt;1,56;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 16:34;399;1253;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 17:34;397;1247;98;Kein Fehler erkannt;1,26;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 18:34;396;1244;98;Kein Fehler erkannt;1,52;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 19:34;395;1240;99;Kein Fehler erkannt;0,75;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 20:34;395;1240;95;Kein Fehler erkannt;4,97;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 21:35;395;1240;94;Kein Fehler erkannt;5,92;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 22:35;395;1240;94;Kein Fehler erkannt;5,8;0;0;;;;;;;
181122_V310_2.csv;15.11.2018 23:35;391;1228;98;Kein Fehler erkannt;1,41;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 00:35;391;1228;100;Kein Fehler erkannt;0;0;0;;;;;;75;66
181122_V310_2.csv;16.11.2018 01:35;391;1228;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 02:35;391;1228;96;Kein Fehler erkannt;3,75;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 03:35;390;1225;98;Kein Fehler erkannt;1,41;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 04:36;390;1225;99;Kein Fehler erkannt;0,44;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 05:36;386;1212;98;Kein Fehler erkannt;1,32;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 06:36;384;1206;98;Kein Fehler erkannt;1,26;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 07:36;383;1203;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 08:36;379;1190;98;Kein Fehler erkannt;1,21;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 09:36;378;1187;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 10:36;377;1184;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 11:36;377;1184;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 12:37;377;1184;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 13:37;371;1165;98;Kein Fehler erkannt;1,26;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 14:37;368;1156;99;Kein Fehler erkannt;0,75;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 15:37;367;1152;98;Kein Fehler erkannt;1,09;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 16:37;365;1146;99;Kein Fehler erkannt;0,85;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 17:37;364;1143;98;Kein Fehler erkannt;1,44;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 18:37;364;1143;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 19:38;356;1118;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 20:38;355;1115;98;Kein Fehler erkannt;1,47;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 21:38;355;1115;98;Kein Fehler erkannt;1,51;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 22:38;353;1108;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;16.11.2018 23:38;353;1108;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;17.11.2018 00:38;353;1108;95;Kein Fehler erkannt;5,09;0;0;;;;;;120;76
181122_V310_2.csv;17.11.2018 01:38;355;1115;94;Kein Fehler erkannt;5,83;0;0;;;;;;;
181122_V310_2.csv;17.11.2018 02:39;354;1112;94;Kein Fehler erkannt;5,83;0;0;;;;;;;
181122_V310_2.csv;17.11.2018 03:39;351;1102;98;Kein Fehler erkannt;1,52;0;0;;;;;;;
181122_V310_2.csv;17.11.2018 04:39;351;1102;99;Kein Fehler erkannt;0,44;0;0;;;;;;;
181122_V310_2.csv;17.11.2018 05:39;351;1102;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;17.11.2018 06:39;351;1102;100;Kein Fehler erkannt;0;0;0;;;;;;;
181122_V310_2.csv;17.11.2018 07:39;349;1096;95;Kein Fehler erkannt;5,15;0;0;;;;;;;
181122_V310_2.csv;17.11.2018 08:39;345;1083;99;Kein Fehler erkannt;0,44;0;0;;;;;;;
181122_V310_2.csv;17.11.2018 09:39;349;1096;94;Kein Fehler erkannt;6,26;0;0,3;;;;;;;
181122_V310_2.csv;17.11.2018 10:40;347;1090;100;Kein Fehler erkannt;0;0;0,3;;;;;;;
181122_V310_2.csv;17.11.2018 11:40;347;1090;97;Kein Fehler erkannt;2,46;0;0,3;;;;;;;
